system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000011,"{type=[[0.0, 926.9647058823529]]}","{type=[[0.0, 926.9647058823529]]}","{type=[[0.0, 926.9647058823529]]}","{type=[[0.0, 408.4313725490196], [1.0, 518.5333333333332]]}","{type=[[0.0, 408.4313725490196], [1.0, 518.5333333333332]]}","{type=[[0.0, 408.4313725490196], [1.0, 518.5333333333332]]}",520404719,"{type=[[0.0, 926.9647058823529]]}","{type=[[0.0, 926.9647058823529]]}","{type=[[0.0, 926.9647058823529]]}",
00000000000000000012,"{type=[[0.0, 925.1058823529413]]}","{type=[[0.0, 925.1058823529413]]}","{type=[[0.0, 925.1058823529413]]}","{type=[[0.0, 368.6509803921568], [1.0, 556.4549019607846]]}","{type=[[0.0, 368.6509803921568], [1.0, 556.4549019607846]]}","{type=[[0.0, 368.6509803921568], [1.0, 556.4549019607846]]}",520371918,"{type=[[0.0, 925.1058823529413]]}","{type=[[0.0, 925.1058823529413]]}","{type=[[0.0, 925.1058823529413]]}",
00000000000000000015,"{type=[[0.0, 906.6666666666669], [1.0, 15.83529411764706]]}","{type=[[0.0, 906.6666666666669], [1.0, 15.83529411764706]]}","{type=[[0.0, 922.5019607843138]]}","{type=[[0.0, 17.0], [1.0, 905.5019607843138]]}","{type=[[0.0, 32.83529411764706], [1.0, 889.6666666666669]]}","{type=[[0.0, 32.83529411764706], [1.0, 889.6666666666669]]}",520312861,"{type=[[0.0, 922.5019607843138]]}","{type=[[0.0, 922.5019607843138]]}","{type=[[0.0, 922.5019607843138]]}",
00000000000000000017,"{type=[[0.0, 927.7803921568627]]}","{type=[[0.0, 925.5686274509803], [1.0, 2.211764705882353]]}","{type=[[0.0, 925.5686274509803], [1.0, 2.211764705882353]]}","{type=[[0.0, 319.72156862745106], [1.0, 608.058823529412]]}","{type=[[0.0, 319.72156862745106], [1.0, 608.058823529412]]}","{type=[[0.0, 321.93333333333345], [1.0, 605.8470588235298]]}",520240674,"{type=[[0.0, 927.7803921568627]]}","{type=[[0.0, 927.7803921568627]]}","{type=[[0.0, 927.7803921568627]]}",
00000000000000000018,"{type=[[0.0, 917.2117647058825], [1.0, 7.0]]}","{type=[[0.0, 917.2117647058825], [1.0, 7.0]]}","{type=[[0.0, 924.2117647058825]]}","{type=[[0.0, 314.7764705882353], [1.0, 609.4352941176473]]}","{type=[[0.0, 321.7764705882353], [1.0, 602.4352941176473]]}","{type=[[0.0, 321.7764705882353], [1.0, 602.4352941176473]]}",520404692,"{type=[[0.0, 924.2117647058825]]}","{type=[[0.0, 924.2117647058825]]}","{type=[[0.0, 924.2117647058825]]}",
00000000000000000019,"{type=[[0.0, 924.4470588235293]]}","{type=[[0.0, 924.4470588235293]]}","{type=[[0.0, 924.4470588235293]]}","{type=[[0.0, 538.2352941176471], [1.0, 386.2117647058824]]}","{type=[[0.0, 538.2352941176471], [1.0, 386.2117647058824]]}","{type=[[0.0, 538.2352941176471], [1.0, 386.2117647058824]]}",520188157,"{type=[[0.0, 924.4470588235293]]}","{type=[[0.0, 924.4470588235293]]}","{type=[[0.0, 924.4470588235293]]}",
00000000000000000048,"{type=[[0.0, 972.1803921568627], [1.0, 6.203921568627451]]}","{type=[[0.0, 972.1803921568627], [1.0, 6.203921568627451]]}","{type=[[0.0, 978.3843137254902]]}","{type=[[0.0, 364.91372549019604], [1.0, 613.470588235294]]}","{type=[[0.0, 371.1176470588235], [1.0, 607.2666666666665]]}","{type=[[0.0, 371.1176470588235], [1.0, 607.2666666666665]]}",523324345,"{type=[[0.0, 978.3843137254902]]}","{type=[[0.0, 978.3843137254902]]}","{type=[[0.0, 978.3843137254902]]}",
0000000000000000004b,"{type=[[0.0, 977.8156862745096]]}","{type=[[0.0, 977.8156862745096]]}","{type=[[0.0, 977.8156862745096]]}","{type=[[0.0, 219.2862745098039], [1.0, 758.529411764706]]}","{type=[[0.0, 219.2862745098039], [1.0, 758.529411764706]]}","{type=[[0.0, 219.2862745098039], [1.0, 758.529411764706]]}",523376845,"{type=[[0.0, 977.8156862745096]]}","{type=[[0.0, 977.8156862745096]]}","{type=[[0.0, 977.8156862745096]]}",
0000000000000000004c,"{type=[[0.0, 974.7999999999997]]}","{type=[[0.0, 974.7999999999997]]}","{type=[[0.0, 974.7999999999997]]}","{type=[[0.0, 273.9960784313725], [1.0, 700.8039215686275]]}","{type=[[0.0, 273.9960784313725], [1.0, 700.8039215686275]]}","{type=[[0.0, 273.9960784313725], [1.0, 700.8039215686275]]}",523081602,"{type=[[0.0, 974.7999999999997]]}","{type=[[0.0, 974.7999999999997]]}","{type=[[0.0, 974.7999999999997]]}",
0000000000000000004d,"{type=[[0.0, 962.7019607843135], [1.0, 6.0]]}","{type=[[0.0, 962.7019607843135], [1.0, 6.0]]}","{type=[[0.0, 968.7019607843135]]}","{type=[[0.0, 222.38823529411758], [1.0, 746.313725490196]]}","{type=[[0.0, 228.38823529411758], [1.0, 740.313725490196]]}","{type=[[0.0, 228.38823529411758], [1.0, 740.313725490196]]}",522937252,"{type=[[0.0, 968.7019607843135]]}","{type=[[0.0, 968.7019607843135]]}","{type=[[0.0, 968.7019607843135]]}",
