system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
000000000000000001f9,"{type=[[0.0, 889.8313725490194]]}","{type=[[0.0, 889.8313725490194]]}","{type=[[0.0, 889.8313725490194]]}","{type=[[0.0, 256.43921568627457], [1.0, 633.3921568627449]]}","{type=[[0.0, 256.43921568627457], [1.0, 633.3921568627449]]}","{type=[[0.0, 256.43921568627457], [1.0, 633.3921568627449]]}",517773739,"{type=[[0.0, 889.8313725490194]]}","{type=[[0.0, 889.8313725490194]]}","{type=[[0.0, 889.8313725490194]]}",
000000000000000001fa,"{type=[[0.0, 890.6196078431371]]}","{type=[[0.0, 889.6196078431375], [1.0, 1.0]]}","{type=[[0.0, 889.6196078431375], [1.0, 1.0]]}","{type=[[0.0, 306.8235294117648], [1.0, 583.7960784313725]]}","{type=[[0.0, 306.8235294117648], [1.0, 583.7960784313725]]}","{type=[[0.0, 307.8235294117648], [1.0, 582.7960784313725]]}",517839334,"{type=[[0.0, 890.6196078431371]]}","{type=[[0.0, 890.6196078431371]]}","{type=[[0.0, 890.6196078431371]]}",
000000000000000001fb,"{type=[[0.0, 886.4705882352943]]}","{type=[[0.0, 886.4705882352943]]}","{type=[[0.0, 886.4705882352943]]}","{type=[[0.0, 332.8235294117647], [1.0, 553.6470588235294]]}","{type=[[0.0, 332.8235294117647], [1.0, 553.6470588235294]]}","{type=[[0.0, 332.8235294117647], [1.0, 553.6470588235294]]}",517498156,"{type=[[0.0, 886.4705882352943]]}","{type=[[0.0, 886.4705882352943]]}","{type=[[0.0, 886.4705882352943]]}",
000000000000000001fc,"{type=[[0.0, 875.2], [1.0, 1.0]]}","{type=[[0.0, 868.5686274509802], [1.0, 7.631372549019607]]}","{type=[[0.0, 869.5686274509802], [1.0, 6.631372549019607]]}","{type=[[0.0, 407.4980392156863], [1.0, 468.7019607843139]]}","{type=[[0.0, 408.4980392156863], [1.0, 467.7019607843139]]}","{type=[[0.0, 415.1294117647059], [1.0, 461.0705882352943]]}",517235717,"{type=[[0.0, 876.1999999999998]]}","{type=[[0.0, 876.1999999999998]]}","{type=[[0.0, 876.1999999999998]]}",
000000000000000001fd,"{type=[[0.0, 880.8078431372546]]}","{type=[[0.0, 880.8078431372546]]}","{type=[[0.0, 880.8078431372546]]}","{type=[[0.0, 601.6823529411764], [1.0, 279.12549019607843]]}","{type=[[0.0, 601.6823529411764], [1.0, 279.12549019607843]]}","{type=[[0.0, 601.6823529411764], [1.0, 279.12549019607843]]}",517170088,"{type=[[0.0, 880.8078431372546]]}","{type=[[0.0, 880.8078431372546]]}","{type=[[0.0, 880.8078431372546]]}",
000000000000000001fe,"{type=[[0.0, 891.1647058823531]]}","{type=[[0.0, 891.1647058823531]]}","{type=[[0.0, 891.1647058823531]]}","{type=[[0.0, 532.8352941176471], [1.0, 358.32941176470604]]}","{type=[[0.0, 532.8352941176471], [1.0, 358.32941176470604]]}","{type=[[0.0, 532.8352941176471], [1.0, 358.32941176470604]]}",517937734,"{type=[[0.0, 891.1647058823531]]}","{type=[[0.0, 891.1647058823531]]}","{type=[[0.0, 891.1647058823531]]}",
000000000000000001ff,"{type=[[0.0, 894.1137254901962]]}","{type=[[0.0, 894.1137254901962]]}","{type=[[0.0, 894.1137254901962]]}","{type=[[0.0, 787.2823529411764], [1.0, 106.83137254901962]]}","{type=[[0.0, 787.2823529411764], [1.0, 106.83137254901962]]}","{type=[[0.0, 787.2823529411764], [1.0, 106.83137254901962]]}",518042708,"{type=[[0.0, 894.1137254901962]]}","{type=[[0.0, 894.1137254901962]]}","{type=[[0.0, 894.1137254901962]]}",
00000000000000000200,"{type=[[0.0, 889.6156862745095]]}","{type=[[0.0, 889.6156862745095]]}","{type=[[0.0, 889.6156862745095]]}","{type=[[0.0, 783.6431372549017], [1.0, 105.97254901960784]]}","{type=[[0.0, 783.6431372549017], [1.0, 105.97254901960784]]}","{type=[[0.0, 783.6431372549017], [1.0, 105.97254901960784]]}",518147665,"{type=[[0.0, 889.6156862745095]]}","{type=[[0.0, 889.6156862745095]]}","{type=[[0.0, 889.6156862745095]]}",
00000000000000000201,"{type=[[0.0, 890.623529411765]]}","{type=[[0.0, 890.623529411765]]}","{type=[[0.0, 890.623529411765]]}","{type=[[0.0, 729.2549019607847], [1.0, 161.36862745098037]]}","{type=[[0.0, 729.2549019607847], [1.0, 161.36862745098037]]}","{type=[[0.0, 729.2549019607847], [1.0, 161.36862745098037]]}",517970517,"{type=[[0.0, 890.623529411765]]}","{type=[[0.0, 890.623529411765]]}","{type=[[0.0, 890.623529411765]]}",
00000000000000000202,"{type=[[0.0, 894.1999999999999], [1.0, 2.0]]}","{type=[[0.0, 841.6117647058821], [1.0, 54.588235294117645]]}","{type=[[0.0, 843.6117647058821], [1.0, 52.588235294117645]]}","{type=[[0.0, 405.58823529411774], [1.0, 490.6117647058825]]}","{type=[[0.0, 407.58823529411774], [1.0, 488.6117647058825]]}","{type=[[0.0, 460.1764705882353], [1.0, 436.02352941176486]]}",518449460,"{type=[[0.0, 896.1999999999998]]}","{type=[[0.0, 896.1999999999998]]}","{type=[[0.0, 896.1999999999998]]}",
