system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
0000000000000000020e,"{type=[[0.0, 883.1176470588235]]}","{type=[[0.0, 883.1176470588235]]}","{type=[[0.0, 883.1176470588235]]}","{type=[[0.0, 4.8352941176470585], [1.0, 878.2823529411764]]}","{type=[[0.0, 4.8352941176470585], [1.0, 878.2823529411764]]}","{type=[[0.0, 4.8352941176470585], [1.0, 878.2823529411764]]}",517832767,"{type=[[0.0, 883.1176470588235]]}","{type=[[0.0, 883.1176470588235]]}","{type=[[0.0, 883.1176470588235]]}",
0000000000000000020f,"{type=[[0.0, 893.0470588235294]]}","{type=[[0.0, 893.0470588235294]]}","{type=[[0.0, 893.0470588235294]]}","{type=[[0.0, 875.0549019607844], [1.0, 17.992156862745098]]}","{type=[[0.0, 875.0549019607844], [1.0, 17.992156862745098]]}","{type=[[0.0, 875.0549019607844], [1.0, 17.992156862745098]]}",518180525,"{type=[[0.0, 893.0470588235294]]}","{type=[[0.0, 893.0470588235294]]}","{type=[[0.0, 893.0470588235294]]}",
00000000000000000210,"{type=[[0.0, 892.992156862745]]}","{type=[[0.0, 892.992156862745]]}","{type=[[0.0, 892.992156862745]]}","{type=[[0.0, 2.172549019607843], [1.0, 890.8196078431372]]}","{type=[[0.0, 2.172549019607843], [1.0, 890.8196078431372]]}","{type=[[0.0, 2.172549019607843], [1.0, 890.8196078431372]]}",518233017,"{type=[[0.0, 892.992156862745]]}","{type=[[0.0, 892.992156862745]]}","{type=[[0.0, 892.992156862745]]}",
00000000000000000211,"{type=[[0.0, 890.7725490196078]]}","{type=[[0.0, 890.7725490196078]]}","{type=[[0.0, 890.7725490196078]]}","{type=[[1.0, 890.7725490196078]]}","{type=[[1.0, 890.7725490196078]]}","{type=[[1.0, 890.7725490196078]]}",518114917,"{type=[[0.0, 890.7725490196078]]}","{type=[[0.0, 890.7725490196078]]}","{type=[[0.0, 890.7725490196078]]}",
00000000000000000212,"{type=[[0.0, 891.8235294117644]]}","{type=[[0.0, 891.8235294117644]]}","{type=[[0.0, 891.8235294117644]]}","{type=[[1.0, 891.8235294117644]]}","{type=[[1.0, 891.8235294117644]]}","{type=[[1.0, 891.8235294117644]]}",518160857,"{type=[[0.0, 891.8235294117644]]}","{type=[[0.0, 891.8235294117644]]}","{type=[[0.0, 891.8235294117644]]}",
00000000000000000213,"{type=[[0.0, 896.7764705882355]]}","{type=[[0.0, 896.7764705882355]]}","{type=[[0.0, 896.7764705882355]]}","{type=[[1.0, 896.7764705882355]]}","{type=[[1.0, 896.7764705882355]]}","{type=[[1.0, 896.7764705882355]]}",518351122,"{type=[[0.0, 896.7764705882355]]}","{type=[[0.0, 896.7764705882355]]}","{type=[[0.0, 896.7764705882355]]}",
00000000000000000214,"{type=[[0.0, 896.2117647058825]]}","{type=[[0.0, 896.2117647058825]]}","{type=[[0.0, 896.2117647058825]]}","{type=[[1.0, 896.2117647058825]]}","{type=[[1.0, 896.2117647058825]]}","{type=[[1.0, 896.2117647058825]]}",518508585,"{type=[[0.0, 896.2117647058825]]}","{type=[[0.0, 896.2117647058825]]}","{type=[[0.0, 896.2117647058825]]}",
00000000000000000215,"{type=[[0.0, 899.1803921568627]]}","{type=[[0.0, 899.1803921568627]]}","{type=[[0.0, 899.1803921568627]]}","{type=[[0.0, 434.12549019607843], [1.0, 465.0549019607842]]}","{type=[[0.0, 434.12549019607843], [1.0, 465.0549019607842]]}","{type=[[0.0, 434.12549019607843], [1.0, 465.0549019607842]]}",518626680,"{type=[[0.0, 899.1803921568627]]}","{type=[[0.0, 899.1803921568627]]}","{type=[[0.0, 899.1803921568627]]}",
00000000000000000216,"{type=[[0.0, 900.8000000000001]]}","{type=[[0.0, 900.8000000000001]]}","{type=[[0.0, 900.8000000000001]]}","{type=[[1.0, 900.8000000000001]]}","{type=[[1.0, 900.8000000000001]]}","{type=[[1.0, 900.8000000000001]]}",518790738,"{type=[[0.0, 900.8000000000001]]}","{type=[[0.0, 900.8000000000001]]}","{type=[[0.0, 900.8000000000001]]}",
00000000000000000217,"{type=[[0.0, 898.427450980392]]}","{type=[[0.0, 898.427450980392]]}","{type=[[0.0, 898.427450980392]]}","{type=[[1.0, 898.427450980392]]}","{type=[[1.0, 898.427450980392]]}","{type=[[1.0, 898.427450980392]]}",518672646,"{type=[[0.0, 898.427450980392]]}","{type=[[0.0, 898.427450980392]]}","{type=[[0.0, 898.427450980392]]}",
00000000000000000218,"{type=[[0.0, 897.960784313726]]}","{type=[[0.0, 897.960784313726]]}","{type=[[0.0, 897.960784313726]]}","{type=[[0.0, 2.0], [1.0, 895.9607843137253]]}","{type=[[0.0, 2.0], [1.0, 895.9607843137253]]}","{type=[[0.0, 2.0], [1.0, 895.9607843137253]]}",518502050,"{type=[[0.0, 897.960784313726]]}","{type=[[0.0, 897.960784313726]]}","{type=[[0.0, 897.960784313726]]}",
00000000000000000000,"{type=[[0.0, 910.337254901961]]}","{type=[[0.0, 910.337254901961]]}","{type=[[0.0, 910.337254901961]]}","{type=[[0.0, 799.0078431372552], [1.0, 111.3294117647059]]}","{type=[[0.0, 799.0078431372552], [1.0, 111.3294117647059]]}","{type=[[0.0, 799.0078431372552], [1.0, 111.3294117647059]]}",519335266,"{type=[[0.0, 910.337254901961]]}","{type=[[0.0, 910.337254901961]]}","{type=[[0.0, 910.337254901961]]}",
00000000000000000001,"{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}",519630514,"{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}","{type=[[0.0, 915.5764705882353]]}",
00000000000000000002,"{type=[[0.0, 924.2274509803925]]}","{type=[[0.0, 924.2274509803925]]}","{type=[[0.0, 924.2274509803925]]}","{type=[[1.0, 924.2274509803925]]}","{type=[[1.0, 924.2274509803925]]}","{type=[[1.0, 924.2274509803925]]}",520122608,"{type=[[0.0, 924.2274509803925]]}","{type=[[0.0, 924.2274509803925]]}","{type=[[0.0, 924.2274509803925]]}",
